===== scMIGRA-v1 training started at Wed Mar 18 15:24:39 CST 2026 =====
[MIGRA_CONFIG] random_seed=20260318
[MIGRA_CONFIG] modality_key=modality, batch_key=batch
[MIGRA_CONFIG] input_layer=counts
[MIGRA_CONFIG] detected label key 'cell_type', but scMIGRA training keeps it out of the model to remain label-free.
[MIGRA_CONFIG] hidden_layers= [256, 128]
[MIGRA_CONFIG] latent_shared=20, latent_specific=16, latent_tech=8, num_programs=32, dropout=0.2
[MIGRA_CONFIG] beta_mod=1.0, beta_tech=1.0, lambda_program=1.0, lambda_transport=0.8, lambda_cycle=0.4, lambda_batch_ind=0.1
[MIGRA_CONFIG] anchor_topk=2, local_k=6, score_quantile=0.75, max_anchors=24, temp=0.2, profile_w=0.5, graph_w=0.5, cross_batch_bonus=0.05
[MIGRA_CONFIG] epoch_num=100, batch_size=128, lr=0.001, adaptlr=True, warmup_epochs=10, early_stopping=False, valid_prop=0.0, distribution=ZINB
using cuda
Training start!
epoch 50: loss=3336.8644, recon=3329.1953, kl_mod=2.7488, kl_tech=4.4669, program=0.4255, transport=0.0333, cycle=0.0020, batch_ind=0.0047, anchor_cov=0.035
epoch 51: loss=3336.2104, recon=3328.5425, kl_mod=2.7378, kl_tech=4.4756, program=0.4276, transport=0.0321, cycle=0.0020, batch_ind=0.0045, anchor_cov=0.035
epoch 52: loss=3335.8624, recon=3328.1842, kl_mod=2.7524, kl_tech=4.4700, program=0.4280, transport=0.0332, cycle=0.0020, batch_ind=0.0045, anchor_cov=0.035
epoch 53: loss=3335.6625, recon=3327.9721, kl_mod=2.7545, kl_tech=4.4790, program=0.4281, transport=0.0343, cycle=0.0021, batch_ind=0.0045, anchor_cov=0.036
epoch 54: loss=3335.6256, recon=3327.9397, kl_mod=2.7677, kl_tech=4.4626, program=0.4298, transport=0.0306, cycle=0.0019, batch_ind=0.0044, anchor_cov=0.035
epoch 55: loss=3335.6166, recon=3327.9172, kl_mod=2.7844, kl_tech=4.4570, program=0.4313, transport=0.0318, cycle=0.0021, batch_ind=0.0045, anchor_cov=0.035
epoch 56: loss=3335.2821, recon=3327.5757, kl_mod=2.7735, kl_tech=4.4749, program=0.4318, transport=0.0311, cycle=0.0021, batch_ind=0.0044, anchor_cov=0.035
epoch 57: loss=3334.7546, recon=3327.0264, kl_mod=2.7948, kl_tech=4.4750, program=0.4333, transport=0.0298, cycle=0.0021, batch_ind=0.0044, anchor_cov=0.035
epoch 58: loss=3334.7355, recon=3327.0083, kl_mod=2.8019, kl_tech=4.4663, program=0.4339, transport=0.0299, cycle=0.0020, batch_ind=0.0043, anchor_cov=0.035
epoch 59: loss=3334.3673, recon=3326.6792, kl_mod=2.7711, kl_tech=4.4568, program=0.4340, transport=0.0310, cycle=0.0021, batch_ind=0.0044, anchor_cov=0.036
epoch 60: loss=3334.2563, recon=3326.5371, kl_mod=2.7913, kl_tech=4.4683, program=0.4350, transport=0.0292, cycle=0.0021, batch_ind=0.0043, anchor_cov=0.035
epoch 61: loss=3334.1635, recon=3326.4672, kl_mod=2.7756, kl_tech=4.4599, program=0.4366, transport=0.0286, cycle=0.0020, batch_ind=0.0043, anchor_cov=0.036
epoch 62: loss=3333.7761, recon=3326.0505, kl_mod=2.7895, kl_tech=4.4755, program=0.4366, transport=0.0284, cycle=0.0021, batch_ind=0.0043, anchor_cov=0.036
epoch 63: loss=3333.9351, recon=3326.2348, kl_mod=2.7726, kl_tech=4.4653, program=0.4385, transport=0.0284, cycle=0.0020, batch_ind=0.0042, anchor_cov=0.035
epoch 64: loss=3333.0482, recon=3325.2890, kl_mod=2.7957, kl_tech=4.5001, program=0.4397, transport=0.0280, cycle=0.0020, batch_ind=0.0041, anchor_cov=0.035
epoch 65: loss=3333.4752, recon=3325.7665, kl_mod=2.7883, kl_tech=4.4558, program=0.4410, transport=0.0279, cycle=0.0020, batch_ind=0.0042, anchor_cov=0.035
epoch 66: loss=3333.3303, recon=3325.6257, kl_mod=2.7756, kl_tech=4.4662, program=0.4404, transport=0.0266, cycle=0.0019, batch_ind=0.0042, anchor_cov=0.035
epoch 67: loss=3332.8447, recon=3325.1177, kl_mod=2.7816, kl_tech=4.4816, program=0.4418, transport=0.0260, cycle=0.0020, batch_ind=0.0042, anchor_cov=0.035
epoch 68: loss=3333.2432, recon=3325.5024, kl_mod=2.7945, kl_tech=4.4806, program=0.4423, transport=0.0277, cycle=0.0021, batch_ind=0.0042, anchor_cov=0.035
epoch 69: loss=3332.9338, recon=3325.1942, kl_mod=2.7949, kl_tech=4.4779, program=0.4429, transport=0.0282, cycle=0.0021, batch_ind=0.0041, anchor_cov=0.035
epoch 70: loss=3332.5117, recon=3324.7896, kl_mod=2.7827, kl_tech=4.4728, program=0.4433, transport=0.0276, cycle=0.0020, batch_ind=0.0041, anchor_cov=0.035
epoch 71: loss=3332.6199, recon=3324.8840, kl_mod=2.7789, kl_tech=4.4895, program=0.4447, transport=0.0270, cycle=0.0020, batch_ind=0.0040, anchor_cov=0.035
epoch 72: loss=3332.7446, recon=3325.0438, kl_mod=2.7648, kl_tech=4.4692, program=0.4442, transport=0.0268, cycle=0.0020, batch_ind=0.0040, anchor_cov=0.035
epoch 73: loss=3332.2532, recon=3324.5331, kl_mod=2.7685, kl_tech=4.4835, program=0.4450, transport=0.0274, cycle=0.0021, batch_ind=0.0041, anchor_cov=0.034
epoch 74: loss=3332.3118, recon=3324.5903, kl_mod=2.7714, kl_tech=4.4825, program=0.4441, transport=0.0279, cycle=0.0020, batch_ind=0.0041, anchor_cov=0.034
epoch 75: loss=3332.5669, recon=3324.8564, kl_mod=2.7780, kl_tech=4.4637, program=0.4457, transport=0.0274, cycle=0.0020, batch_ind=0.0040, anchor_cov=0.034
epoch 76: loss=3331.9781, recon=3324.2574, kl_mod=2.7776, kl_tech=4.4740, program=0.4468, transport=0.0263, cycle=0.0020, batch_ind=0.0041, anchor_cov=0.034
epoch 77: loss=3331.9104, recon=3324.2011, kl_mod=2.7743, kl_tech=4.4655, program=0.4465, transport=0.0272, cycle=0.0020, batch_ind=0.0039, anchor_cov=0.034
epoch 78: loss=3331.7782, recon=3324.0525, kl_mod=2.7772, kl_tech=4.4786, program=0.4477, transport=0.0262, cycle=0.0021, batch_ind=0.0040, anchor_cov=0.035
epoch 79: loss=3331.7458, recon=3324.0377, kl_mod=2.7729, kl_tech=4.4644, program=0.4477, transport=0.0274, cycle=0.0021, batch_ind=0.0040, anchor_cov=0.034
epoch 80: loss=3331.2671, recon=3323.5269, kl_mod=2.7815, kl_tech=4.4885, program=0.4476, transport=0.0266, cycle=0.0020, batch_ind=0.0039, anchor_cov=0.035
epoch 81: loss=3331.5473, recon=3323.8274, kl_mod=2.7782, kl_tech=4.4702, program=0.4485, transport=0.0271, cycle=0.0020, batch_ind=0.0039, anchor_cov=0.034
epoch 82: loss=3331.6467, recon=3323.9208, kl_mod=2.7819, kl_tech=4.4716, program=0.4489, transport=0.0277, cycle=0.0021, batch_ind=0.0040, anchor_cov=0.034
epoch 83: loss=3330.8550, recon=3323.1387, kl_mod=2.7643, kl_tech=4.4808, program=0.4483, transport=0.0271, cycle=0.0020, batch_ind=0.0040, anchor_cov=0.034
epoch 84: loss=3331.6301, recon=3323.8944, kl_mod=2.7782, kl_tech=4.4859, program=0.4487, transport=0.0271, cycle=0.0020, batch_ind=0.0039, anchor_cov=0.034
epoch 85: loss=3331.1146, recon=3323.3898, kl_mod=2.7767, kl_tech=4.4766, program=0.4489, transport=0.0266, cycle=0.0020, batch_ind=0.0039, anchor_cov=0.034
epoch 86: loss=3331.0487, recon=3323.3387, kl_mod=2.7681, kl_tech=4.4705, program=0.4495, transport=0.0259, cycle=0.0020, batch_ind=0.0039, anchor_cov=0.034
epoch 87: loss=3331.0152, recon=3323.2909, kl_mod=2.7677, kl_tech=4.4847, program=0.4496, transport=0.0263, cycle=0.0020, batch_ind=0.0039, anchor_cov=0.034
epoch 88: loss=3331.1632, recon=3323.4450, kl_mod=2.7637, kl_tech=4.4826, program=0.4498, transport=0.0262, cycle=0.0020, batch_ind=0.0038, anchor_cov=0.034
epoch 89: loss=3330.6936, recon=3322.9717, kl_mod=2.7671, kl_tech=4.4830, program=0.4497, transport=0.0262, cycle=0.0020, batch_ind=0.0038, anchor_cov=0.033
epoch 90: loss=3330.4203, recon=3322.7053, kl_mod=2.7737, kl_tech=4.4688, program=0.4498, transport=0.0269, cycle=0.0020, batch_ind=0.0039, anchor_cov=0.034
epoch 91: loss=3331.4699, recon=3323.7596, kl_mod=2.7623, kl_tech=4.4756, program=0.4496, transport=0.0271, cycle=0.0020, batch_ind=0.0038, anchor_cov=0.034
epoch 92: loss=3331.1657, recon=3323.4557, kl_mod=2.7670, kl_tech=4.4707, program=0.4495, transport=0.0269, cycle=0.0021, batch_ind=0.0039, anchor_cov=0.034
epoch 93: loss=3330.5821, recon=3322.8657, kl_mod=2.7690, kl_tech=4.4750, program=0.4494, transport=0.0273, cycle=0.0020, batch_ind=0.0039, anchor_cov=0.034
epoch 94: loss=3330.8570, recon=3323.1389, kl_mod=2.7703, kl_tech=4.4757, program=0.4492, transport=0.0270, cycle=0.0020, batch_ind=0.0039, anchor_cov=0.034
epoch 95: loss=3330.8488, recon=3323.1299, kl_mod=2.7652, kl_tech=4.4826, program=0.4494, transport=0.0256, cycle=0.0020, batch_ind=0.0039, anchor_cov=0.034
epoch 96: loss=3330.8159, recon=3323.0862, kl_mod=2.7763, kl_tech=4.4819, program=0.4494, transport=0.0261, cycle=0.0020, batch_ind=0.0039, anchor_cov=0.034
epoch 97: loss=3330.9333, recon=3323.1951, kl_mod=2.7829, kl_tech=4.4842, program=0.4496, transport=0.0253, cycle=0.0020, batch_ind=0.0038, anchor_cov=0.034
epoch 98: loss=3330.7887, recon=3323.0618, kl_mod=2.7734, kl_tech=4.4812, program=0.4495, transport=0.0270, cycle=0.0020, batch_ind=0.0039, anchor_cov=0.034
epoch 99: loss=3330.9064, recon=3323.1760, kl_mod=2.7772, kl_tech=4.4820, program=0.4495, transport=0.0256, cycle=0.0020, batch_ind=0.0039, anchor_cov=0.034
epoch 100: loss=3330.7916, recon=3323.0651, kl_mod=2.7733, kl_tech=4.4817, program=0.4495, transport=0.0259, cycle=0.0020, batch_ind=0.0040, anchor_cov=0.034
Training finished!
inference: loss=3316.0324
All results recorded in adata.
===== scMIGRA-v1 training finished at Wed Mar 18 16:32:40 CST 2026 =====
===== scMIGRA-v1 metrics started at Wed Mar 18 16:32:40 CST 2026 =====
ERROR: Missing dependency 'scMIGRA' required for evaluation. Please install scib-metrics in the runtime environment before running metrics.py.
WARNING: metrics.py failed, but training outputs are already saved.
===== scMIGRA-v1 metrics finished at Wed Mar 18 16:33:42 CST 2026 =====
